"-3.17359,55.96792","-3.20204,55.94677"
"-3.17359,55.96792","-3.20209,55.96412"
"-3.17359,55.96792","-3.2031,55.94425"
"-3.17359,55.96792","-3.20318,55.9515"
"-3.17359,55.96792","-3.20568,55.95262"
"-3.17359,55.96792","-3.20577,55.94741"
"-3.17359,55.96792","-3.20643,55.93712"
"-3.17359,55.96792","-3.2071,55.95234"
"-3.17359,55.96792","-3.20796,55.97133"
"-3.17359,55.96792","-3.20807,55.95857"
"-3.17359,55.96792","-3.20925,55.94336"
"-3.17359,55.96792","-3.20975,55.92799"
"-3.17359,55.96792","-3.2104,55.94607"
"-3.17359,55.96792","-3.21235,55.95159"
"-3.17359,55.96792","-3.2124,55.93342"
"-3.17359,55.96792","-3.21331,55.92782"
"-3.17359,55.96792","-3.21429,55.95728"
"-3.17359,55.96792","-3.21534,55.94007"
"-3.17359,55.96792","-3.21566,55.95941"
"-3.17359,55.96792","-3.21818,55.94557"
"-3.17359,55.96792","-3.22059,55.93971"
"-3.17359,55.96792","-3.22242,55.94179"
"-3.17359,55.96792","-3.22302,55.94606"
"-3.17359,55.96792","-3.22343,55.95954"
"-3.17359,55.96792","-3.22363,55.95508"
"-3.17359,55.96792","-3.22612,55.95197"
"-3.17359,55.96792","-3.22991,55.93874"
"-3.17359,55.96792","-3.23185,55.94565"
"-3.17359,55.96792","-3.23192,55.96264"
"-3.17359,55.96792","-3.23367,55.92759"
"-3.17359,55.96792","-3.23414,55.96284"
"-3.17359,55.96792","-3.2345,55.94443"
"-3.17359,55.96792","-3.2378,55.94191"
"-3.17359,55.96792","-3.23794,55.95658"
"-3.17359,55.96792","-3.24367,55.94479"
"-3.17359,55.96792","-3.25088,55.94505"
"-3.17359,55.96792","-3.25111,55.93894"
"-3.17359,55.96792","-3.26929,55.94212"
"-3.17359,55.96792","-3.27152,55.94167"
"-3.17359,55.96792","-3.28948,55.92668"
"-3.17359,55.96792","-3.30064,55.98003"
"-3.17359,55.96792","-3.30726,55.96944"
"-3.17359,55.96792","-3.30744,55.92738"
"-3.17359,55.96792","-3.31441,55.93117"
"-3.17359,55.96792","-3.32011,55.90882"
"-3.17359,55.96792","-3.32878,55.90841"
"-3.17359,55.96792","-3.35556,55.93879"
"-3.17359,55.96792","-3.38145,55.98261"
"-3.17359,55.96792","-3.38243,55.98676"
"-3.17359,55.96792","-3.3856,55.99053"
"-3.17359,55.96792","-3.39421,55.98111"
"-3.17359,55.96792","-3.39777,55.9899"
"-3.17359,55.96792","-3.40135,55.98377"
"-3.17359,55.96792","-3.40375,55.98774"
"-3.17359,55.96792","-3.4046,55.99018"
"-3.17359,55.96792","-3.40716,55.99296"
"-3.17383,55.92419","-3.17392,55.939"
"-3.17383,55.92419","-3.17413,55.97762"
"-3.17383,55.92419","-3.17538,55.92348"
"-3.17383,55.92419","-3.17572,55.95109"
"-3.17383,55.92419","-3.17589,55.95787"
"-3.17383,55.92419","-3.17635,55.98129"
"-3.17383,55.92419","-3.17669,55.96504"
"-3.17383,55.92419","-3.17873,55.92446"
"-3.17383,55.92419","-3.18017,55.93651"
"-3.17383,55.92419","-3.18041,55.94956"
"-3.17383,55.92419","-3.18099,55.96085"
"-3.17383,55.92419","-3.18111,55.94749"
"-3.17383,55.92419","-3.18168,55.95316"
"-3.17383,55.92419","-3.18259,55.94486"
"-3.17383,55.92419","-3.18274,55.93981"
"-3.17383,55.92419","-3.18418,55.95173"
"-3.17383,55.92419","-3.18495,55.94384"
"-3.17383,55.92419","-3.18502,55.93796"
"-3.17383,55.92419","-3.18518,55.96403"
"-3.17383,55.92419","-3.18547,55.94664"
"-3.17383,55.92419","-3.18625,55.95654"
"-3.17383,55.92419","-3.18691,55.94478"
"-3.17383,55.92419","-3.1872,55.95995"
"-3.17383,55.92419","-3.18753,55.95264"
"-3.17383,55.92419","-3.1878,55.9498"
"-3.17383,55.92419","-3.18831,55.94308"
"-3.17383,55.92419","-3.18892,55.9476"
"-3.17383,55.92419","-3.18905,55.94583"
"-3.17383,55.92419","-3.19026,55.95011"
"-3.17383,55.92419","-3.19189,55.95198"
"-3.17383,55.92419","-3.19244,55.95491"
"-3.17383,55.92419","-3.19415,55.93643"
"-3.17383,55.92419","-3.19464,55.94024"
"-3.17383,55.92419","-3.19547,55.96038"
"-3.17383,55.92419","-3.1957,55.96406"
"-3.17383,55.92419","-3.19628,55.9628"
"-3.17383,55.92419","-3.19725,55.9471"
"-3.17383,55.92419","-3.19727,55.94477"
"-3.17383,55.92419","-3.19803,55.93837"
"-3.17383,55.92419","-3.19876,55.93532"
"-3.17383,55.92419","-3.20128,55.96076"
"-3.17383,55.92419","-3.20204,55.94677"
"-3.17383,55.92419","-3.20209,55.96412"
"-3.17383,55.92419","-3.2031,55.94425"
"-3.17383,55.92419","-3.20318,55.9515"
"-3.17383,55.92419","-3.20568,55.95262"
"-3.17383,55.92419","-3.20577,55.94741"
"-3.17383,55.92419","-3.20643,55.93712"
"-3.17383,55.92419","-3.2071,55.95234"
"-3.17383,55.92419","-3.20796,55.97133"
"-3.17383,55.92419","-3.20807,55.95857"
"-3.17383,55.92419","-3.20925,55.94336"
"-3.17383,55.92419","-3.20975,55.92799"
"-3.17383,55.92419","-3.2104,55.94607"
"-3.17383,55.92419","-3.21235,55.95159"
"-3.17383,55.92419","-3.2124,55.93342"
"-3.17383,55.92419","-3.21331,55.92782"
"-3.17383,55.92419","-3.21429,55.95728"
"-3.17383,55.92419","-3.21534,55.94007"
"-3.17383,55.92419","-3.21566,55.95941"
"-3.17383,55.92419","-3.21818,55.94557"
"-3.17383,55.92419","-3.22059,55.93971"
"-3.17383,55.92419","-3.22242,55.94179"
"-3.17383,55.92419","-3.22302,55.94606"
"-3.17383,55.92419","-3.22343,55.95954"
"-3.17383,55.92419","-3.22363,55.95508"
"-3.17383,55.92419","-3.22612,55.95197"
"-3.17383,55.92419","-3.22991,55.93874"
"-3.17383,55.92419","-3.23185,55.94565"
"-3.17383,55.92419","-3.23192,55.96264"
"-3.17383,55.92419","-3.23367,55.92759"
"-3.17383,55.92419","-3.23414,55.96284"
"-3.17383,55.92419","-3.2345,55.94443"
"-3.17383,55.92419","-3.2378,55.94191"
"-3.17383,55.92419","-3.23794,55.95658"
"-3.17383,55.92419","-3.24367,55.94479"
"-3.17383,55.92419","-3.25088,55.94505"
"-3.17383,55.92419","-3.25111,55.93894"
"-3.17383,55.92419","-3.26929,55.94212"
"-3.17383,55.92419","-3.27152,55.94167"
"-3.17383,55.92419","-3.28948,55.92668"
"-3.17383,55.92419","-3.30064,55.98003"
"-3.17383,55.92419","-3.30726,55.96944"
"-3.17383,55.92419","-3.30744,55.92738"
"-3.17383,55.92419","-3.31441,55.93117"
"-3.17383,55.92419","-3.32011,55.90882"
"-3.17383,55.92419","-3.32878,55.90841"
"-3.17383,55.92419","-3.35556,55.93879"
"-3.17383,55.92419","-3.38145,55.98261"
"-3.17383,55.92419","-3.38243,55.98676"
"-3.17383,55.92419","-3.3856,55.99053"
"-3.17383,55.92419","-3.39421,55.98111"
"-3.17383,55.92419","-3.39777,55.9899"
"-3.17383,55.92419","-3.40135,55.98377"
"-3.17383,55.92419","-3.40375,55.98774"
"-3.17383,55.92419","-3.4046,55.99018"
"-3.17383,55.92419","-3.40716,55.99296"
"-3.17392,55.939","-3.17413,55.97762"
"-3.17392,55.939","-3.17538,55.92348"
"-3.17392,55.939","-3.17572,55.95109"
"-3.17392,55.939","-3.17589,55.95787"
"-3.17392,55.939","-3.17635,55.98129"
"-3.17392,55.939","-3.17669,55.96504"
"-3.17392,55.939","-3.17873,55.92446"
"-3.17392,55.939","-3.18017,55.93651"
"-3.17392,55.939","-3.18041,55.94956"
"-3.17392,55.939","-3.18099,55.96085"
"-3.17392,55.939","-3.18111,55.94749"
"-3.17392,55.939","-3.18168,55.95316"
"-3.17392,55.939","-3.18259,55.94486"
"-3.17392,55.939","-3.18274,55.93981"
"-3.17392,55.939","-3.18418,55.95173"
"-3.17392,55.939","-3.18495,55.94384"
"-3.17392,55.939","-3.18502,55.93796"
"-3.17392,55.939","-3.18518,55.96403"
"-3.17392,55.939","-3.18547,55.94664"
"-3.17392,55.939","-3.18625,55.95654"
"-3.17392,55.939","-3.18691,55.94478"
"-3.17392,55.939","-3.1872,55.95995"
"-3.17392,55.939","-3.18753,55.95264"
"-3.17392,55.939","-3.1878,55.9498"
"-3.17392,55.939","-3.18831,55.94308"
"-3.17392,55.939","-3.18892,55.9476"
"-3.17392,55.939","-3.18905,55.94583"
"-3.17392,55.939","-3.19026,55.95011"
"-3.17392,55.939","-3.19189,55.95198"
"-3.17392,55.939","-3.19244,55.95491"
"-3.17392,55.939","-3.19415,55.93643"
"-3.17392,55.939","-3.19464,55.94024"
"-3.17392,55.939","-3.19547,55.96038"
"-3.17392,55.939","-3.1957,55.96406"
"-3.17392,55.939","-3.19628,55.9628"
"-3.17392,55.939","-3.19725,55.9471"
"-3.17392,55.939","-3.19727,55.94477"
"-3.17392,55.939","-3.19803,55.93837"
"-3.17392,55.939","-3.19876,55.93532"
"-3.17392,55.939","-3.20128,55.96076"
"-3.17392,55.939","-3.20204,55.94677"
"-3.17392,55.939","-3.20209,55.96412"
"-3.17392,55.939","-3.2031,55.94425"
"-3.17392,55.939","-3.20318,55.9515"
"-3.17392,55.939","-3.20568,55.95262"
"-3.17392,55.939","-3.20577,55.94741"
"-3.17392,55.939","-3.20643,55.93712"
"-3.17392,55.939","-3.2071,55.95234"
"-3.17392,55.939","-3.20796,55.97133"
"-3.17392,55.939","-3.20807,55.95857"
"-3.17392,55.939","-3.20925,55.94336"
"-3.17392,55.939","-3.20975,55.92799"
"-3.17392,55.939","-3.2104,55.94607"
"-3.17392,55.939","-3.21235,55.95159"
"-3.17392,55.939","-3.2124,55.93342"
"-3.17392,55.939","-3.21331,55.92782"
"-3.17392,55.939","-3.21429,55.95728"
"-3.17392,55.939","-3.21534,55.94007"
"-3.17392,55.939","-3.21566,55.95941"
"-3.17392,55.939","-3.21818,55.94557"
"-3.17392,55.939","-3.22059,55.93971"
"-3.17392,55.939","-3.22242,55.94179"
"-3.17392,55.939","-3.22302,55.94606"
"-3.17392,55.939","-3.22343,55.95954"
"-3.17392,55.939","-3.22363,55.95508"
"-3.17392,55.939","-3.22612,55.95197"
"-3.17392,55.939","-3.22991,55.93874"
"-3.17392,55.939","-3.23185,55.94565"
"-3.17392,55.939","-3.23192,55.96264"
"-3.17392,55.939","-3.23367,55.92759"
"-3.17392,55.939","-3.23414,55.96284"
"-3.17392,55.939","-3.2345,55.94443"
"-3.17392,55.939","-3.2378,55.94191"
"-3.17392,55.939","-3.23794,55.95658"
"-3.17392,55.939","-3.24367,55.94479"
"-3.17392,55.939","-3.25088,55.94505"
"-3.17392,55.939","-3.25111,55.93894"
"-3.17392,55.939","-3.26929,55.94212"
"-3.17392,55.939","-3.27152,55.94167"
"-3.17392,55.939","-3.28948,55.92668"
"-3.17392,55.939","-3.30064,55.98003"
"-3.17392,55.939","-3.30726,55.96944"
"-3.17392,55.939","-3.30744,55.92738"
"-3.17392,55.939","-3.31441,55.93117"
"-3.17392,55.939","-3.32011,55.90882"
"-3.17392,55.939","-3.32878,55.90841"
"-3.17392,55.939","-3.35556,55.93879"
"-3.17392,55.939","-3.38145,55.98261"
"-3.17392,55.939","-3.38243,55.98676"
"-3.17392,55.939","-3.3856,55.99053"
"-3.17392,55.939","-3.39421,55.98111"
"-3.17392,55.939","-3.39777,55.9899"
"-3.17392,55.939","-3.40135,55.98377"
"-3.17392,55.939","-3.40375,55.98774"
"-3.17392,55.939","-3.4046,55.99018"
"-3.17392,55.939","-3.40716,55.99296"
"-3.17413,55.97762","-3.17538,55.92348"
"-3.17413,55.97762","-3.17572,55.95109"
"-3.17413,55.97762","-3.17589,55.95787"
"-3.17413,55.97762","-3.17635,55.98129"
"-3.17413,55.97762","-3.17669,55.96504"
"-3.17413,55.97762","-3.17873,55.92446"
"-3.17413,55.97762","-3.18017,55.93651"
"-3.17413,55.97762","-3.18041,55.94956"
"-3.17413,55.97762","-3.18099,55.96085"
"-3.17413,55.97762","-3.18111,55.94749"
"-3.17413,55.97762","-3.18168,55.95316"
"-3.17413,55.97762","-3.18259,55.94486"
"-3.17413,55.97762","-3.18274,55.93981"
"-3.17413,55.97762","-3.18418,55.95173"
"-3.17413,55.97762","-3.18495,55.94384"
"-3.17413,55.97762","-3.18502,55.93796"
"-3.17413,55.97762","-3.18518,55.96403"
"-3.17413,55.97762","-3.18547,55.94664"
"-3.17413,55.97762","-3.18625,55.95654"
"-3.17413,55.97762","-3.18691,55.94478"
"-3.17413,55.97762","-3.1872,55.95995"
"-3.17413,55.97762","-3.18753,55.95264"
"-3.17413,55.97762","-3.1878,55.9498"
"-3.17413,55.97762","-3.18831,55.94308"
"-3.17413,55.97762","-3.18892,55.9476"
"-3.17413,55.97762","-3.18905,55.94583"
"-3.17413,55.97762","-3.19026,55.95011"
"-3.17413,55.97762","-3.19189,55.95198"
"-3.17413,55.97762","-3.19244,55.95491"
"-3.17413,55.97762","-3.19415,55.93643"
"-3.17413,55.97762","-3.19464,55.94024"
"-3.17413,55.97762","-3.19547,55.96038"
"-3.17413,55.97762","-3.1957,55.96406"
"-3.17413,55.97762","-3.19628,55.9628"
"-3.17413,55.97762","-3.19725,55.9471"
"-3.17413,55.97762","-3.19727,55.94477"
"-3.17413,55.97762","-3.19803,55.93837"
"-3.17413,55.97762","-3.19876,55.93532"
"-3.17413,55.97762","-3.20128,55.96076"
"-3.17413,55.97762","-3.20204,55.94677"
"-3.17413,55.97762","-3.20209,55.96412"
"-3.17413,55.97762","-3.2031,55.94425"
"-3.17413,55.97762","-3.20318,55.9515"
"-3.17413,55.97762","-3.20568,55.95262"
"-3.17413,55.97762","-3.20577,55.94741"
"-3.17413,55.97762","-3.20643,55.93712"
"-3.17413,55.97762","-3.2071,55.95234"
"-3.17413,55.97762","-3.20796,55.97133"
"-3.17413,55.97762","-3.20807,55.95857"
"-3.17413,55.97762","-3.20925,55.94336"
"-3.17413,55.97762","-3.20975,55.92799"
"-3.17413,55.97762","-3.2104,55.94607"
"-3.17413,55.97762","-3.21235,55.95159"
"-3.17413,55.97762","-3.2124,55.93342"
"-3.17413,55.97762","-3.21331,55.92782"
"-3.17413,55.97762","-3.21429,55.95728"
"-3.17413,55.97762","-3.21534,55.94007"
"-3.17413,55.97762","-3.21566,55.95941"
"-3.17413,55.97762","-3.21818,55.94557"
"-3.17413,55.97762","-3.22059,55.93971"
"-3.17413,55.97762","-3.22242,55.94179"
"-3.17413,55.97762","-3.22302,55.94606"
"-3.17413,55.97762","-3.22343,55.95954"
"-3.17413,55.97762","-3.22363,55.95508"
"-3.17413,55.97762","-3.22612,55.95197"
"-3.17413,55.97762","-3.22991,55.93874"
"-3.17413,55.97762","-3.23185,55.94565"
"-3.17413,55.97762","-3.23192,55.96264"
"-3.17413,55.97762","-3.23367,55.92759"
"-3.17413,55.97762","-3.23414,55.96284"
"-3.17413,55.97762","-3.2345,55.94443"
"-3.17413,55.97762","-3.2378,55.94191"
"-3.17413,55.97762","-3.23794,55.95658"
"-3.17413,55.97762","-3.24367,55.94479"
"-3.17413,55.97762","-3.25088,55.94505"
"-3.17413,55.97762","-3.25111,55.93894"
"-3.17413,55.97762","-3.26929,55.94212"
"-3.17413,55.97762","-3.27152,55.94167"
"-3.17413,55.97762","-3.28948,55.92668"
"-3.17413,55.97762","-3.30064,55.98003"
"-3.17413,55.97762","-3.30726,55.96944"
"-3.17413,55.97762","-3.30744,55.92738"
"-3.17413,55.97762","-3.31441,55.93117"
"-3.17413,55.97762","-3.32011,55.90882"
"-3.17413,55.97762","-3.32878,55.90841"
"-3.17413,55.97762","-3.35556,55.93879"
"-3.17413,55.97762","-3.38145,55.98261"
"-3.17413,55.97762","-3.38243,55.98676"
"-3.17413,55.97762","-3.3856,55.99053"
"-3.17413,55.97762","-3.39421,55.98111"
"-3.17413,55.97762","-3.39777,55.9899"
"-3.17413,55.97762","-3.40135,55.98377"
"-3.17413,55.97762","-3.40375,55.98774"
"-3.17413,55.97762","-3.4046,55.99018"
"-3.17413,55.97762","-3.40716,55.99296"
"-3.17538,55.92348","-3.17572,55.95109"
"-3.17538,55.92348","-3.17589,55.95787"
"-3.17538,55.92348","-3.17635,55.98129"
"-3.17538,55.92348","-3.17669,55.96504"
"-3.17538,55.92348","-3.17873,55.92446"
"-3.17538,55.92348","-3.18017,55.93651"
"-3.17538,55.92348","-3.18041,55.94956"
"-3.17538,55.92348","-3.18099,55.96085"
"-3.17538,55.92348","-3.18111,55.94749"
"-3.17538,55.92348","-3.18168,55.95316"
"-3.17538,55.92348","-3.18259,55.94486"
"-3.17538,55.92348","-3.18274,55.93981"
"-3.17538,55.92348","-3.18418,55.95173"
"-3.17538,55.92348","-3.18495,55.94384"
"-3.17538,55.92348","-3.18502,55.93796"
"-3.17538,55.92348","-3.18518,55.96403"
"-3.17538,55.92348","-3.18547,55.94664"
"-3.17538,55.92348","-3.18625,55.95654"
"-3.17538,55.92348","-3.18691,55.94478"
"-3.17538,55.92348","-3.1872,55.95995"
"-3.17538,55.92348","-3.18753,55.95264"
"-3.17538,55.92348","-3.1878,55.9498"
"-3.17538,55.92348","-3.18831,55.94308"
"-3.17538,55.92348","-3.18892,55.9476"
"-3.17538,55.92348","-3.18905,55.94583"
"-3.17538,55.92348","-3.19026,55.95011"
"-3.17538,55.92348","-3.19189,55.95198"
"-3.17538,55.92348","-3.19244,55.95491"
"-3.17538,55.92348","-3.19415,55.93643"
"-3.17538,55.92348","-3.19464,55.94024"
"-3.17538,55.92348","-3.19547,55.96038"
"-3.17538,55.92348","-3.1957,55.96406"
"-3.17538,55.92348","-3.19628,55.9628"
"-3.17538,55.92348","-3.19725,55.9471"
"-3.17538,55.92348","-3.19727,55.94477"
"-3.17538,55.92348","-3.19803,55.93837"
"-3.17538,55.92348","-3.19876,55.93532"
"-3.17538,55.92348","-3.20128,55.96076"
"-3.17538,55.92348","-3.20204,55.94677"
"-3.17538,55.92348","-3.20209,55.96412"
"-3.17538,55.92348","-3.2031,55.94425"
"-3.17538,55.92348","-3.20318,55.9515"
"-3.17538,55.92348","-3.20568,55.95262"
"-3.17538,55.92348","-3.20577,55.94741"
"-3.17538,55.92348","-3.20643,55.93712"
"-3.17538,55.92348","-3.2071,55.95234"
"-3.17538,55.92348","-3.20796,55.97133"
"-3.17538,55.92348","-3.20807,55.95857"
"-3.17538,55.92348","-3.20925,55.94336"
"-3.17538,55.92348","-3.20975,55.92799"
"-3.17538,55.92348","-3.2104,55.94607"
"-3.17538,55.92348","-3.21235,55.95159"
"-3.17538,55.92348","-3.2124,55.93342"
"-3.17538,55.92348","-3.21331,55.92782"
"-3.17538,55.92348","-3.21429,55.95728"
"-3.17538,55.92348","-3.21534,55.94007"
"-3.17538,55.92348","-3.21566,55.95941"
"-3.17538,55.92348","-3.21818,55.94557"
"-3.17538,55.92348","-3.22059,55.93971"
"-3.17538,55.92348","-3.22242,55.94179"
"-3.17538,55.92348","-3.22302,55.94606"
"-3.17538,55.92348","-3.22343,55.95954"
"-3.17538,55.92348","-3.22363,55.95508"
"-3.17538,55.92348","-3.22612,55.95197"
"-3.17538,55.92348","-3.22991,55.93874"
"-3.17538,55.92348","-3.23185,55.94565"
"-3.17538,55.92348","-3.23192,55.96264"
"-3.17538,55.92348","-3.23367,55.92759"
"-3.17538,55.92348","-3.23414,55.96284"
"-3.17538,55.92348","-3.2345,55.94443"
"-3.17538,55.92348","-3.2378,55.94191"
"-3.17538,55.92348","-3.23794,55.95658"
"-3.17538,55.92348","-3.24367,55.94479"
"-3.17538,55.92348","-3.25088,55.94505"
"-3.17538,55.92348","-3.25111,55.93894"
"-3.17538,55.92348","-3.26929,55.94212"
"-3.17538,55.92348","-3.27152,55.94167"
"-3.17538,55.92348","-3.28948,55.92668"
"-3.17538,55.92348","-3.30064,55.98003"
"-3.17538,55.92348","-3.30726,55.96944"
"-3.17538,55.92348","-3.30744,55.92738"
"-3.17538,55.92348","-3.31441,55.93117"
"-3.17538,55.92348","-3.32011,55.90882"
"-3.17538,55.92348","-3.32878,55.90841"
"-3.17538,55.92348","-3.35556,55.93879"
"-3.17538,55.92348","-3.38145,55.98261"
"-3.17538,55.92348","-3.38243,55.98676"
"-3.17538,55.92348","-3.3856,55.99053"
"-3.17538,55.92348","-3.39421,55.98111"
"-3.17538,55.92348","-3.39777,55.9899"
"-3.17538,55.92348","-3.40135,55.98377"
"-3.17538,55.92348","-3.40375,55.98774"
"-3.17538,55.92348","-3.4046,55.99018"
"-3.17538,55.92348","-3.40716,55.99296"
"-3.17572,55.95109","-3.17589,55.95787"
"-3.17572,55.95109","-3.17635,55.98129"
"-3.17572,55.95109","-3.17669,55.96504"
"-3.17572,55.95109","-3.17873,55.92446"
"-3.17572,55.95109","-3.18017,55.93651"
"-3.17572,55.95109","-3.18041,55.94956"
"-3.17572,55.95109","-3.18099,55.96085"
"-3.17572,55.95109","-3.18111,55.94749"
"-3.17572,55.95109","-3.18168,55.95316"
"-3.17572,55.95109","-3.18259,55.94486"
"-3.17572,55.95109","-3.18274,55.93981"
"-3.17572,55.95109","-3.18418,55.95173"
"-3.17572,55.95109","-3.18495,55.94384"
"-3.17572,55.95109","-3.18502,55.93796"
"-3.17572,55.95109","-3.18518,55.96403"
"-3.17572,55.95109","-3.18547,55.94664"
"-3.17572,55.95109","-3.18625,55.95654"
"-3.17572,55.95109","-3.18691,55.94478"
"-3.17572,55.95109","-3.1872,55.95995"
"-3.17572,55.95109","-3.18753,55.95264"
"-3.17572,55.95109","-3.1878,55.9498"
"-3.17572,55.95109","-3.18831,55.94308"
"-3.17572,55.95109","-3.18892,55.9476"
"-3.17572,55.95109","-3.18905,55.94583"
"-3.17572,55.95109","-3.19026,55.95011"
"-3.17572,55.95109","-3.19189,55.95198"
"-3.17572,55.95109","-3.19244,55.95491"
"-3.17572,55.95109","-3.19415,55.93643"
"-3.17572,55.95109","-3.19464,55.94024"
"-3.17572,55.95109","-3.19547,55.96038"
"-3.17572,55.95109","-3.1957,55.96406"
"-3.17572,55.95109","-3.19628,55.9628"
"-3.17572,55.95109","-3.19725,55.9471"
"-3.17572,55.95109","-3.19727,55.94477"
"-3.17572,55.95109","-3.19803,55.93837"
"-3.17572,55.95109","-3.19876,55.93532"
"-3.17572,55.95109","-3.20128,55.96076"
"-3.17572,55.95109","-3.20204,55.94677"
"-3.17572,55.95109","-3.20209,55.96412"
"-3.17572,55.95109","-3.2031,55.94425"
"-3.17572,55.95109","-3.20318,55.9515"
"-3.17572,55.95109","-3.20568,55.95262"
"-3.17572,55.95109","-3.20577,55.94741"
"-3.17572,55.95109","-3.20643,55.93712"
"-3.17572,55.95109","-3.2071,55.95234"
"-3.17572,55.95109","-3.20796,55.97133"
"-3.17572,55.95109","-3.20807,55.95857"
"-3.17572,55.95109","-3.20925,55.94336"
"-3.17572,55.95109","-3.20975,55.92799"
"-3.17572,55.95109","-3.2104,55.94607"
"-3.17572,55.95109","-3.21235,55.95159"
"-3.17572,55.95109","-3.2124,55.93342"
"-3.17572,55.95109","-3.21331,55.92782"
"-3.17572,55.95109","-3.21429,55.95728"
"-3.17572,55.95109","-3.21534,55.94007"
"-3.17572,55.95109","-3.21566,55.95941"
"-3.17572,55.95109","-3.21818,55.94557"
"-3.17572,55.95109","-3.22059,55.93971"
"-3.17572,55.95109","-3.22242,55.94179"
"-3.17572,55.95109","-3.22302,55.94606"
"-3.17572,55.95109","-3.22343,55.95954"
"-3.17572,55.95109","-3.22363,55.95508"
"-3.17572,55.95109","-3.22612,55.95197"
"-3.17572,55.95109","-3.22991,55.93874"
"-3.17572,55.95109","-3.23185,55.94565"
"-3.17572,55.95109","-3.23192,55.96264"
"-3.17572,55.95109","-3.23367,55.92759"
"-3.17572,55.95109","-3.23414,55.96284"
"-3.17572,55.95109","-3.2345,55.94443"
"-3.17572,55.95109","-3.2378,55.94191"
"-3.17572,55.95109","-3.23794,55.95658"
"-3.17572,55.95109","-3.24367,55.94479"
"-3.17572,55.95109","-3.25088,55.94505"
"-3.17572,55.95109","-3.25111,55.93894"
"-3.17572,55.95109","-3.26929,55.94212"
"-3.17572,55.95109","-3.27152,55.94167"
"-3.17572,55.95109","-3.28948,55.92668"
"-3.17572,55.95109","-3.30064,55.98003"
"-3.17572,55.95109","-3.30726,55.96944"
"-3.17572,55.95109","-3.30744,55.92738"
"-3.17572,55.95109","-3.31441,55.93117"
"-3.17572,55.95109","-3.32011,55.90882"
"-3.17572,55.95109","-3.32878,55.90841"
"-3.17572,55.95109","-3.35556,55.93879"
"-3.17572,55.95109","-3.38145,55.98261"
"-3.17572,55.95109","-3.38243,55.98676"
"-3.17572,55.95109","-3.3856,55.99053"
"-3.17572,55.95109","-3.39421,55.98111"
"-3.17572,55.95109","-3.39777,55.9899"
"-3.17572,55.95109","-3.40135,55.98377"
"-3.17572,55.95109","-3.40375,55.98774"
"-3.17572,55.95109","-3.4046,55.99018"
"-3.17572,55.95109","-3.40716,55.99296"
"-3.17589,55.95787","-3.17635,55.98129"
"-3.17589,55.95787","-3.17669,55.96504"
"-3.17589,55.95787","-3.17873,55.92446"
"-3.17589,55.95787","-3.18017,55.93651"
"-3.17589,55.95787","-3.18041,55.94956"
"-3.17589,55.95787","-3.18099,55.96085"
"-3.17589,55.95787","-3.18111,55.94749"
"-3.17589,55.95787","-3.18168,55.95316"
"-3.17589,55.95787","-3.18259,55.94486"
"-3.17589,55.95787","-3.18274,55.93981"
"-3.17589,55.95787","-3.18418,55.95173"
"-3.17589,55.95787","-3.18495,55.94384"
"-3.17589,55.95787","-3.18502,55.93796"
"-3.17589,55.95787","-3.18518,55.96403"
"-3.17589,55.95787","-3.18547,55.94664"
"-3.17589,55.95787","-3.18625,55.95654"
"-3.17589,55.95787","-3.18691,55.94478"
"-3.17589,55.95787","-3.1872,55.95995"
"-3.17589,55.95787","-3.18753,55.95264"
"-3.17589,55.95787","-3.1878,55.9498"
"-3.17589,55.95787","-3.18831,55.94308"
"-3.17589,55.95787","-3.18892,55.9476"
"-3.17589,55.95787","-3.18905,55.94583"
"-3.17589,55.95787","-3.19026,55.95011"
"-3.17589,55.95787","-3.19189,55.95198"
"-3.17589,55.95787","-3.19244,55.95491"
"-3.17589,55.95787","-3.19415,55.93643"
"-3.17589,55.95787","-3.19464,55.94024"
"-3.17589,55.95787","-3.19547,55.96038"
"-3.17589,55.95787","-3.1957,55.96406"
"-3.17589,55.95787","-3.19628,55.9628"
"-3.17589,55.95787","-3.19725,55.9471"
"-3.17589,55.95787","-3.19727,55.94477"
"-3.17589,55.95787","-3.19803,55.93837"
"-3.17589,55.95787","-3.19876,55.93532"
"-3.17589,55.95787","-3.20128,55.96076"
"-3.17589,55.95787","-3.20204,55.94677"
"-3.17589,55.95787","-3.20209,55.96412"
"-3.17589,55.95787","-3.2031,55.94425"
"-3.17589,55.95787","-3.20318,55.9515"
"-3.17589,55.95787","-3.20568,55.95262"
"-3.17589,55.95787","-3.20577,55.94741"
"-3.17589,55.95787","-3.20643,55.93712"
"-3.17589,55.95787","-3.2071,55.95234"
"-3.17589,55.95787","-3.20796,55.97133"
"-3.17589,55.95787","-3.20807,55.95857"
"-3.17589,55.95787","-3.20925,55.94336"
"-3.17589,55.95787","-3.20975,55.92799"
"-3.17589,55.95787","-3.2104,55.94607"
"-3.17589,55.95787","-3.21235,55.95159"
"-3.17589,55.95787","-3.2124,55.93342"
"-3.17589,55.95787","-3.21331,55.92782"
"-3.17589,55.95787","-3.21429,55.95728"
"-3.17589,55.95787","-3.21534,55.94007"
"-3.17589,55.95787","-3.21566,55.95941"
"-3.17589,55.95787","-3.21818,55.94557"
